"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1904000395040698820","Mon Mar 24 02:40:43 +0000 2025","0","semua berisik RUU TNI ini membuahkan hasil meskipun terkesan seperti gagal karena tetap disahkan namun kewenangan lembaga/ kementerian yang bisa dimasuki Kacang Ijo jadi berkurang kaya Kementerian Kelautan dan Perikanan engga jadi...","1904000395040698820","","","in","aku masih di sini, untuk setia","0","0","0","https://x.com/hujanyangturun_/status/1904000395040698820","710280429442441216","hujanyangturun_"
"1904000355853340678","Mon Mar 24 02:40:34 +0000 2025","0","Dalam RUU Polri Pasukan Khusus TNI Bisa Dibubarkan Perannya Diambil Alih Brimob https://t.co/D903NxjX7X","1904000355853340678","","","in","Indonesia","0","0","0","https://x.com/JurnalNetizen1/status/1904000355853340678","1896749749233213440","JurnalNetizen1"
"1904000290405404677","Mon Mar 24 02:40:18 +0000 2025","0","ini ampe sekarang ruu tni resmi belum dirilis?","1904000290405404677","","","in","Stockholm, Sweden","0","0","0","https://x.com/wenlox/status/1904000290405404677","1739941424504942592","wenlox"
"1903471712454541530","Mon Mar 24 02:40:02 +0000 2025","0","@ASSurakarta1923 Gak cmn Mulyono. Semua partai politik dan org2nya yg menyetujui RUU TNI semua BAJINGAN","1904000225012015374","","ASSurakarta1923","in","warung kopi","0","0","0","https://x.com/coffeenride/status/1904000225012015374","2264523823","coffeenride"
"1904000137204289798","Mon Mar 24 02:39:41 +0000 2025","0","ah males dehh aturan dia yg perlu gencar buat nolak ruu tni tp trnyata yg malah lebih dibahas tntng hak asasi memilih iyaa deh iyaa perlu demokrasi deh kentara kan alih-alih gamau nerima hasil/resiko pilihan? poin intina aja lu gada posting ruu tni mlahan bls hak asasi","1904000137204289798","","","in","","0","1","0","https://x.com/cuzahcore/status/1904000137204289798","1829011963604807683","cuzahcore"
"1904000090026778691","Mon Mar 24 02:39:30 +0000 2025","0","Kecemasan Setelah RUU TNI Disahkan https://t.co/plUryOoA8E","1904000090026778691","","","in","Indonesia","0","0","0","https://x.com/jpnncom/status/1904000090026778691","79130206","jpnncom"
"1904000020803948980","Mon Mar 24 02:39:14 +0000 2025","0","Apa kabar kehidupan warga seminggu ini setelah pengesahan RUU TNI? Sudah merasakan dampaknya?","1904000020803948980","","","in","","0","0","0","https://x.com/assmore_id/status/1904000020803948980","1487724568072835072","assmore_id"
"1903959990647321007","Mon Mar 24 02:38:52 +0000 2025","0","@tanyakanrl dia ngetik sepanjang itu ga ada poin logis knp harus pro ruu tni pdhal dia sndiri yg minta logis","1903999928537592096","","tanyakanrl","in","Masa Depan","0","0","0","https://x.com/wigbububibi_/status/1903999928537592096","543405958","wigbububibi_"
"1902668733837099059","Mon Mar 24 02:38:50 +0000 2025","0","@DavidSetyawan_ Iya berita soal RUU TNI memang susah dicari. Banyak yang merasa sama. Coba cari di situs berita resmi atau forum diskusi yang lebih fokus. Kalau mau ngurangin doomscrolling coba pakai BePresent. Bantu banget buat ngatur screen time dan lebih fokus.","1903999920714957209","","DavidSetyawan_","in","","0","0","0","https://x.com/iiiineedyou/status/1903999920714957209","1418385422","iiiineedyou"
"1903844323491504325","Mon Mar 24 02:38:17 +0000 2025","0","@kacangbolong GAGALKAN RUU TNI #GagalkanRUUTNI #CabutRUUTNI #PeringatanDarurat #IndonesiaGelap #TolakRUUTNI #TolakRevisiUUTNI #TolakDwifungsiABRI #SupremasiSipil #TolakRUUPolri #tolakruukejaksaan","1903999784618525165","","kacangbolong","in","JYP ent cabang Pluto","0","0","0","https://x.com/hynciwww/status/1903999784618525165","1744159014253142016","hynciwww"
"1903986457708277839","Mon Mar 24 02:38:02 +0000 2025","0","@PatubMbel Emangnya Muhammadiyah gak dukung RUU TNI? Sekjennya ada di dalem loh ","1903999719917203841","","PatubMbel","in","Lubang Buaya","0","0","0","https://x.com/A13surd1sm3/status/1903999719917203841","1710989204807987200","A13surd1sm3"
"1903999632080044120","Mon Mar 24 02:37:41 +0000 2025","0","Polisi modelan IDF aka Tentara Israel Zionis.","1903999632080044120","","","in","Gulf of SpaceX Debris","0","0","0","https://x.com/Burevestnik2145/status/1903999632080044120","1680930768472936448","Burevestnik2145"
"1903999482037149961","Mon Mar 24 02:37:05 +0000 2025","0","NANI? STOP YA https://t.co/cJlQOFx8To","1903999482037149961","https://pbs.twimg.com/media/GmxdcA_b0AAPv_W.jpg","","in","World for my tes","0","0","0","https://x.com/tessh0w/status/1903999482037149961","1871818501239050240","tessh0w"
"1903999466677678258","Mon Mar 24 02:37:02 +0000 2025","0"," cuman tugasnya aja yang berbeda and negara kita ini demokrasi right? itu lo paham harusnya lo menolak RUU TNI kalau ngerti negara ini demokrasi dan tugas TNI itu beda dengan sipil","1903999466677678258","","","in","","0","0","0","https://x.com/wonyrisol/status/1903999466677678258","1755759299614355456","wonyrisol"
"1903935965447729461","Mon Mar 24 02:36:53 +0000 2025","1","@Jhonkomeng12 @blackshark7890 Gerakan adili Jokowi tp mau memisahkannya dr lawan Prabowo sbg sekutu politiknya ya gk mgkinlah coli itu RUU TNI bg bnyk org soal prinsip tp bagi bbrp kelompok mmg jd pintu masuk perlawanan pd rezim Pelemahan TNI? Mrk yg hrs menyesuaikan diri dgn jaman Itu soal penalaran aja","1903999431470616588","","Jhonkomeng12","in","Ubud, Indonesia","0","0","0","https://x.com/Pupufafa1/status/1903999431470616588","1852318231262015488","Pupufafa1"
"1903999041081692227","Mon Mar 24 02:35:20 +0000 2025","0","Di tengah penolakan RUU TNI yang lagi rame kalian harus inget juga kalo di olahraga (khususnya voli) kalo kalian nonton Livoli Divisi Utama pasti nggak asing sama klub yang kumaksud ini bahkan bisa dibilang gede dan bersaing sama klub nonmiliter.","1903999041081692227","","","in","","0","1","0","https://x.com/stvrlightgirl/status/1903999041081692227","1700728929345269760","stvrlightgirl"
"1903998699094880629","Mon Mar 24 02:33:59 +0000 2025","0","Kamu anak SMA Al-Izhar yang lagi punya tugas KTI? Mau libur tapi KTI-nya ga selesai-selesai? Tenang kakak. @megulfy menyediakan jasa penyusunan karya ilmiah mulai dari esai artikel makalah KTI proposal dan lain sebagainya. Psttt! Bisa parafrase juga. #zonauang #jokitugas","1903998699094880629","","","in","Kehidupan","0","0","0","https://x.com/megulfy/status/1903998699094880629","1448321535307968519","megulfy"
"1903568593343979958","Mon Mar 24 02:33:50 +0000 2025","0","@bebydump @tthe1OO4 @jakesnappy wkwkkw yakan yg ada malah makin males bersuara padahal di kondisi kayak gini kita harus 1 suara siapa sih yg seneng di gaslighting padahal mereka udah nurunin egonya buat nolak RUU TNI ini juga sama kayak pendukung ganjil","1903998663258767813","","bebydump","in","south korea","0","0","0","https://x.com/ktown4u_/status/1903998663258767813","1320531688431087617","ktown4u_"
"1903998474506678285","Mon Mar 24 02:33:05 +0000 2025","0","hallo #sobattni Tahukah anda tentang RUU TNI yang baru di sahkan. Apa saja poin-poin penting yang mengalami perubahan?mari kita pahami bersama. https://t.co/ekTCOcOhjh","1903998474506678285","https://pbs.twimg.com/media/GmxchTyaUAE3TVY.jpg","","in","West Borneo, Indonesia","0","1","0","https://x.com/1208Kodim/status/1903998474506678285","1226835139415527424","1208Kodim"
"1903921681779048565","Mon Mar 24 02:32:28 +0000 2025","0","@weierstress Jiir baru tau diretasnya karena bersuara tentang RUU TNI","1903998318784709112","","weierstress","in","","0","0","0","https://x.com/massachusettts/status/1903998318784709112","1087339448642134016","massachusettts"
"1903998282495676635","Mon Mar 24 02:32:19 +0000 2025","0","Kamu punya tugas makalah artikel esai KTI dan lain sebagainya? Tenang kakak. @megulfy hadir untuk membantu tugas karya ilmiah Anda. Makalah artikel esai KTI proposal skripsi? Aman bisa kok. Parafrase + PPT juga bisa. #zonauang #jokitugas #joktug","1903998282495676635","","","in","Kehidupan","0","0","0","https://x.com/megulfy/status/1903998282495676635","1448321535307968519","megulfy"
"1903841409821814884","Mon Mar 24 02:31:54 +0000 2025","0","@scoupepaya @raffimulyaa @Novitayulianaaa NAIKIN HTNYA LAGI WOI ABIS RUU TNI ADA JUGA RUU POLRI. ANJ LEBIH SEREM ‼️HELP RT LIKE OR REPLY‼️ #TolakRUUTNI #TolakRevisiUUTNI #PeringatanDarurat #IndonesiaGelap #TolakDwifungsiABRI #TolakRUUPolri","1903998175968723054","","scoupepaya","in","","0","0","0","https://x.com/cocoCUnanie/status/1903998175968723054","1842531612871028736","cocoCUnanie"
"1903903809933623383","Mon Mar 24 02:31:38 +0000 2025","0","@MurtadhaOne1 Coba pembahasan RUU TNI kemarin sealot ini","1903998108935283154","","MurtadhaOne1","in","Heima","0","0","0","https://x.com/Aromatica/status/1903998108935283154","47271518","Aromatica"
"1903997988986609940","Mon Mar 24 02:31:09 +0000 2025","0","singa yang dimaksud: https://t.co/TuMmhoZgbP","1903997988986609940","https://pbs.twimg.com/media/GmxcE9cbsAA3jVx.jpg","","in","dream","0","0","0","https://x.com/blxccat/status/1903997988986609940","1792556581521174528","blxccat"
"1903997915837956596","Mon Mar 24 02:30:52 +0000 2025","18","Sukabumi 24.03.25 tolak UU TNI dan RUU Polri https://t.co/C5FKfpPb2e","1903997915837956596","https://pbs.twimg.com/ext_tw_video_thumb/1903997885865508864/pu/img/gdoX7Grvrgz6qMAE.jpg","","in","multiverse","1","0","11","https://x.com/neVerAl0nely/status/1903997915837956596","1282751327588585473","neVerAl0nely"
